Features,Intercept,Sex_M,Mean_centered_age,DLICV,Scaler_Mean,Scaler_Var
Age,,,,,64.7892459,76.48429827
DLICV,,,,,1426475.937,20182069165
H_MUSE_Volume_100,253.2571159,-234.4417998,-27.27986252,0.002501667,21.20199655,538174.9488
H_MUSE_Volume_101,-779.8698743,-274.5506586,-21.51340825,0.003773648,19.98568063,510510.8215
H_MUSE_Volume_102,915.2685517,-10.28132481,-22.48199899,0.002139993,22.13063897,176978.7269
H_MUSE_Volume_103,843.6637914,-21.11761302,-22.80420555,0.002130023,22.44976456,170992.073
H_MUSE_Volume_104,18.35641215,-62.66063849,-8.615157507,0.001268514,8.466518675,96292.30737
H_MUSE_Volume_105,181.4838004,6.925391071,-6.530758456,0.000937511,8.587167283,80778.56726
H_MUSE_Volume_106,1368.613037,-413.1949779,-67.15090209,0.005607831,79.61948633,1775347.682
H_MUSE_Volume_107,828.8651267,-351.1313658,-53.66340766,0.005325057,61.82364452,1511850.907
H_MUSE_Volume_108,207.2600169,-34.47681166,-15.68099023,0.001960432,2.624421618,297432.944
H_MUSE_Volume_109,436.3996433,-34.15361445,-14.72970073,0.001910298,3.636640566,345972.6531
H_MUSE_Volume_112,106.2529191,-142.8108703,-30.31582055,0.002408223,13.72860351,261934.091
H_MUSE_Volume_113,310.5907896,-75.48873548,-25.37556368,0.00223669,13.12290227,214255.4176
H_MUSE_Volume_114,702.738292,62.88512493,-22.14585297,0.002960218,10.72634734,479813.9024
H_MUSE_Volume_115,887.6928799,117.616342,-18.49835845,0.002760754,12.09146755,481390.8964
H_MUSE_Volume_116,660.0377981,154.2355713,-7.999708747,0.001152079,24.79943116,93831.36169
H_MUSE_Volume_117,709.7490219,109.7687006,-8.46149594,0.001085619,26.12961981,98155.09001
H_MUSE_Volume_118,356.7935391,-18.4642003,-13.03740552,0.000826605,7.976167646,79929.13224
H_MUSE_Volume_119,270.7054463,-46.53116561,-15.92472185,0.000903543,8.982996384,75801.49373
H_MUSE_Volume_120,-321.4700511,-159.6024496,-14.37890367,0.002283612,4.482096418,158334.984
H_MUSE_Volume_121,74.88659587,-183.6180244,-20.49173313,0.001985408,4.482669454,255878.8706
H_MUSE_Volume_122,630.7776098,255.379326,-25.00319535,0.005129031,50.62780694,821288.1564
H_MUSE_Volume_123,1149.114705,104.5819525,-28.66865248,0.004590858,51.70290362,681867.8839
H_MUSE_Volume_124,370.2131593,-31.22811375,-8.85697443,0.001313887,8.643040793,93480.9379
H_MUSE_Volume_125,400.5874551,2.932408776,-7.109151531,0.001134521,9.527305367,67633.81305
H_MUSE_Volume_128,-628.6872863,96.96596564,-2.774466161,0.004876665,12.26184929,709273.929
H_MUSE_Volume_129,-881.8593138,-23.70494179,-5.626157802,0.004913007,16.03095477,601310.8636
H_MUSE_Volume_132,667.9459745,158.0446228,-29.34845823,0.008214287,77.86744317,1399823.663
H_MUSE_Volume_133,663.0231442,165.4341653,-22.48116725,0.007583273,86.82988102,1221557.107
H_MUSE_Volume_134,544.3629726,136.7680465,-20.95488717,0.005883161,9.290356159,825752.7361
H_MUSE_Volume_135,538.792304,-86.91522538,-26.21131722,0.005481583,13.81688107,810722.1322
H_MUSE_Volume_136,81.49004248,-21.94666399,-4.896826421,0.001402268,-4.230722361,134658.9066
H_MUSE_Volume_137,114.4320541,-75.8153843,-12.34797507,0.001383115,5.868242314,142916.9836
H_MUSE_Volume_138,634.7877557,-147.8368034,-15.82836888,0.002701612,8.472528958,324931.4074
H_MUSE_Volume_139,693.1670254,-118.0821683,-14.40692607,0.002488778,7.225230802,301907.77
H_MUSE_Volume_140,28.79080627,-45.88437591,-11.65160928,0.001248149,11.75240203,115125.2007
H_MUSE_Volume_141,-76.05398801,-31.96693744,-8.70922784,0.001259487,10.35696535,103382.1978
H_MUSE_Volume_142,-126.01937,-394.2897962,-80.28324839,0.011546168,35.44061164,2702117.255
H_MUSE_Volume_143,-100.143093,-456.9306723,-88.79222206,0.011764652,50.62122938,2799202.426
H_MUSE_Volume_144,-290.6441708,-201.9609757,-20.11814974,0.003645583,30.65047321,543739.7475
H_MUSE_Volume_145,253.6276466,-220.8282755,-30.04550943,0.003846517,41.06737632,695326.3023
H_MUSE_Volume_146,283.8410974,-97.93524453,-12.18596162,0.002690245,8.623262314,163773.3192
H_MUSE_Volume_147,261.5379991,-15.32718667,-5.234407525,0.00283528,2.887542057,193489.362
H_MUSE_Volume_148,93.78867345,-22.07710745,-3.137597051,0.000577145,0.554271575,47396.77985
H_MUSE_Volume_149,34.46709953,-37.36903069,-4.436914808,0.000526781,4.641613034,51948.33618
H_MUSE_Volume_150,241.6505985,-14.11836473,-12.08132524,0.001793628,5.91469359,252017.5114
H_MUSE_Volume_151,273.4720779,35.65911698,-5.791459436,0.001454192,1.861903896,201937.878
H_MUSE_Volume_152,-3.607862209,-221.1529762,-42.98890812,0.004737141,11.45655652,866604.0798
H_MUSE_Volume_153,1007.305314,-170.2369404,-44.95254723,0.003264707,23.54234805,598646.7601
H_MUSE_Volume_154,686.3204529,-6.249561501,-66.12499771,0.00900401,96.71866242,1654835.132
H_MUSE_Volume_155,686.0144442,-149.9634728,-66.16821807,0.008776863,113.2311445,1803139.555
H_MUSE_Volume_156,-482.6529268,-54.67560751,-4.249106405,0.002703132,-1.562538883,346763.4726
H_MUSE_Volume_157,-992.6282077,-105.5069514,-4.506988178,0.003074586,1.041163505,410025.7001
H_MUSE_Volume_160,144.9353986,19.615256,-13.38317461,0.002633307,6.38293047,444052.1604
H_MUSE_Volume_161,446.4058191,65.7001609,-13.08529724,0.002713621,16.35553381,354340.3819
H_MUSE_Volume_162,729.6450045,-87.97685696,-27.24445077,0.001475134,14.20822612,327566.7324
H_MUSE_Volume_163,474.4989504,-129.8931751,-28.52984141,0.001644684,13.60837393,302568.2507
H_MUSE_Volume_164,202.8869888,-8.517379339,-8.441155262,0.000760124,5.730187819,129186.1638
H_MUSE_Volume_165,108.4781974,-12.3550219,-7.104089004,0.000930784,-0.071113604,111648.8706
H_MUSE_Volume_166,-277.3448518,-18.63767213,-9.077590974,0.002816494,8.636134073,198104.8569
H_MUSE_Volume_167,-212.1283299,23.28048574,-10.45049524,0.003017702,8.796818249,229865.3364
H_MUSE_Volume_168,-401.3436452,-225.5588795,-53.8862557,0.008171277,44.31801407,1372621.91
H_MUSE_Volume_169,-108.9514556,-139.1825064,-50.10408093,0.007834614,42.34683779,1400121.725
H_MUSE_Volume_170,1078.476688,143.3185842,-6.915586134,0.001733455,25.88818976,121279.5439
H_MUSE_Volume_171,1076.414146,108.7371069,-8.456193011,0.00178984,28.56277416,123717.5685
H_MUSE_Volume_172,129.0824441,-65.96439801,-15.14452684,0.001394647,14.54249326,74338.80674
H_MUSE_Volume_173,171.9793558,-95.88365407,-16.52433126,0.001279289,14.9782004,75581.52182
H_MUSE_Volume_174,-505.2839078,-94.21656566,-10.05995974,0.001563753,3.916890262,136501.4602
H_MUSE_Volume_175,-475.1234569,-92.16479899,-15.55100923,0.001736764,6.208554581,149865.0962
H_MUSE_Volume_176,2014.71414,-310.2264608,-40.06557205,0.005026427,3.187975309,1090413.311
H_MUSE_Volume_177,2517.388167,-346.1085961,-42.33078019,0.00534651,14.69200848,1326921.163
H_MUSE_Volume_178,336.7723492,17.92306965,-8.728712426,0.00187579,4.722312742,155491.2562
H_MUSE_Volume_179,260.1755314,1.986278704,-11.80083172,0.001806891,5.069132254,153334.4282
H_MUSE_Volume_180,225.1374718,-58.13542027,-14.73339358,0.000944246,3.917608478,67113.2418
H_MUSE_Volume_181,205.3033267,-85.65084996,-16.71753556,0.001036428,5.052968648,78226.86004
H_MUSE_Volume_182,1441.209279,-175.8013376,-57.57406507,0.007247616,2.9105422,1329755.059
